genre,color,size,left,top
dinner jazz,"rgb(59, 164, 195)",103%,1134px,12105px
chinese classical,"rgb(37, 152, 144)",100%,353px,15545px
nordic house,"rgb(193, 127, 39)",102%,847px,1902px
classical harp,"rgb(28, 175, 181)",100%,647px,16040px
piano blues,"rgb(102, 136, 45)",101%,920px,13450px
poezja spiewana,"rgb(111, 148, 10)",101%,788px,11333px
indian jazz,"rgb(132, 136, 141)",100%,776px,11543px
galway indie,"rgb(129, 142, 39)",100%,551px,10233px
rhythm and boogie,"rgb(145, 123, 18)",100%,874px,11738px
australian talent show,"rgb(166, 132, 5)",102%,608px,6402px
brazilian gospel,"rgb(149, 143, 20)",105%,531px,7941px
mantra,"rgb(130, 140, 11)",100%,765px,11123px
spanish folk rock,"rgb(152, 139, 22)",100%,601px,7529px
dutch r&b,"rgb(141, 147, 14)",101%,945px,6023px
southern gospel,"rgb(120, 143, 14)",101%,556px,10874px
r&b italiano,"rgb(154, 139, 18)",102%,844px,6730px
canadian rock,"rgb(192, 116, 21)",106%,413px,4644px
korean trap,"rgb(177, 141, 13)",100%,1008px,4781px
nohay,"rgb(160, 119, 0)",100%,598px,12709px
chamame brasilero,"rgb(158, 138, 21)",100%,910px,7673px
swansea indie,"rgb(167, 126, 32)",100%,364px,6599px
uk rockabilly,"rgb(192, 110, 17)",100%,795px,7289px
nepali pop,"rgb(153, 140, 9)",100%,702px,8056px
turbo folk,"rgb(187, 125, 3)",103%,746px,4770px
military rap,"rgb(175, 130, 3)",101%,1010px,4615px
classic colombian pop,"rgb(130, 151, 13)",101%,1089px,10112px
kuduro,"rgb(197, 123, 56)",100%,1215px,2112px
marimba de guatemala,"rgb(162, 152, 87)",100%,1164px,7299px
tecnobanda,"rgb(162, 128, 4)",102%,1115px,8352px
roots reggae,"rgb(141, 144, 28)",105%,1208px,4944px
jazz trumpet,"rgb(86, 139, 99)",103%,898px,14059px
italian jazz,"rgb(74, 156, 133)",101%,738px,13844px
musica portuguesa contemporanea,"rgb(105, 154, 32)",100%,710px,10606px
canadian celtic,"rgb(145, 139, 25)",101%,531px,10962px
rock curitibano,"rgb(195, 112, 17)",100%,503px,5988px
ye ye,"rgb(129, 138, 6)",102%,629px,11970px
swedish folk pop,"rgb(117, 152, 37)",100%,586px,9427px
dortmund indie,"rgb(190, 116, 35)",100%,511px,3488px
swedish rock-and-roll,"rgb(177, 123, 68)",100%,673px,8597px
pop romantico,"rgb(135, 141, 8)",103%,656px,10700px
folk rock,"rgb(128, 134, 16)",116%,680px,10835px
psychobilly,"rgb(217, 85, 35)",101%,443px,7468px
rap maromba,"rgb(164, 137, 8)",101%,1069px,6300px
swedish blues,"rgb(171, 123, 14)",100%,641px,8422px
garage rock mexicano,"rgb(206, 105, 56)",100%,360px,4544px
magyar mulatos,"rgb(204, 123, 13)",100%,928px,2273px
anime,"rgb(182, 123, 51)",105%,425px,4346px
haitian dance,"rgb(178, 126, 23)",100%,967px,5844px
post-hardcore,"rgb(198, 94, 65)",104%,315px,8120px
vintage country folk,"rgb(76, 148, 29)",100%,1007px,15329px
chicano punk,"rgb(228, 83, 45)",100%,372px,7998px
musica popular paraense,"rgb(171, 139, 14)",101%,892px,6309px
syrian pop,"rgb(142, 134, 15)",101%,644px,10582px
kansas city hip hop,"rgb(172, 130, 1)",102%,1036px,6743px
uk dancehall,"rgb(182, 134, 14)",103%,1100px,3996px
west-vlaamse hip hop,"rgb(154, 134, 9)",100%,1104px,7950px
uk reggae,"rgb(152, 144, 28)",102%,1173px,2993px
psych gaze,"rgb(173, 123, 119)",100%,222px,7005px
school ensemble,"rgb(100, 130, 123)",100%,572px,12324px
classical contralto,"rgb(46, 163, 28)",100%,425px,16440px
viol,"rgb(32, 161, 116)",100%,321px,15222px
folk rock italiano,"rgb(134, 137, 11)",102%,726px,10136px
jazz clarinet,"rgb(92, 130, 136)",100%,980px,14231px
sung poetry,"rgb(111, 146, 11)",101%,760px,11444px
senegalese traditional,"rgb(137, 125, 75)",100%,1038px,12080px
benga,"rgb(166, 132, 17)",100%,972px,7079px
euphoric hardstyle,"rgb(226, 108, 60)",103%,535px,1927px
vintage jazz,"rgb(81, 133, 126)",100%,1040px,15006px
francoton,"rgb(184, 135, 6)",109%,957px,4222px
togolese pop,"rgb(178, 133, 13)",100%,991px,6566px
lilith,"rgb(122, 145, 12)",107%,593px,9613px
country rock,"rgb(132, 133, 20)",114%,713px,9949px
russian underground rap,"rgb(172, 128, 5)",100%,1008px,8137px
persian pop,"rgb(164, 137, 8)",102%,795px,6640px
uk contemporary r&b,"rgb(136, 148, 10)",105%,867px,6983px
scottish indie rock,"rgb(189, 119, 24)",101%,364px,4408px
deep discofox,"rgb(234, 102, 8)",100%,859px,1399px
egyptian hip hop,"rgb(156, 138, 20)",101%,1012px,7522px
marathi pop,"rgb(135, 138, 31)",100%,814px,10037px
meditation,"rgb(57, 125, 197)",103%,138px,13908px
deep funk ostentacao,"rgb(177, 132, 5)",100%,1249px,4737px
gothabilly,"rgb(203, 95, 53)",100%,360px,5988px
christian trap,"rgb(165, 139, 10)",102%,990px,6136px
merengue,"rgb(180, 125, 11)",102%,1060px,8339px
champeta,"rgb(200, 123, 8)",103%,1106px,2574px
trancecore,"rgb(226, 94, 24)",103%,267px,3079px
argentine metal,"rgb(218, 94, 39)",101%,302px,6548px
progressive doom,"rgb(177, 119, 87)",100%,178px,7247px
boston metal,"rgb(215, 80, 85)",101%,195px,7166px
metal galego,"rgb(226, 80, 78)",100%,222px,4906px
wisconsin metal,"rgb(229, 76, 85)",100%,247px,5345px
belgian death metal,"rgb(226, 70, 128)",100%,190px,6796px
roda de samba,"rgb(157, 136, 3)",100%,886px,9396px
british choir,"rgb(38, 151, 62)",100%,131px,15997px
australian choir,"rgb(35, 158, 66)",100%,195px,16266px
christian symphonic metal,"rgb(185, 108, 63)",100%,190px,6587px
black death,"rgb(221, 54, 141)",100%,108px,8712px
gothic metal,"rgb(194, 114, 54)",103%,229px,4755px
combos nacionales,"rgb(175, 145, 14)",100%,1131px,8039px
sludgecore,"rgb(209, 80, 137)",100%,124px,8421px
death 'n' roll,"rgb(231, 70, 111)",100%,195px,7876px
timba,"rgb(187, 128, 7)",101%,1038px,8803px
finnish doom metal,"rgb(178, 116, 111)",100%,157px,7516px
nz metal,"rgb(221, 78, 104)",100%,203px,5705px
moog,"rgb(98, 138, 163)",100%,547px,12032px
grave wave,"rgb(170, 127, 122)",102%,518px,4030px
bulgarian experimental,"rgb(127, 123, 174)",100%,362px,9883px
children's choir,"rgb(76, 152, 34)",101%,501px,12737px
trip hop,"rgb(158, 135, 108)",105%,874px,3375px
barbershop,"rgb(80, 140, 17)",100%,527px,12351px
muzika l'yeladim,"rgb(105, 148, 7)",100%,997px,8950px
downtempo fusion,"rgb(143, 142, 136)",100%,710px,4734px
baja indie,"rgb(158, 129, 98)",100%,627px,5513px
bouzouki,"rgb(109, 152, 96)",100%,779px,11728px
canadian electronic,"rgb(191, 131, 111)",104%,1014px,1629px
traditional scottish folk,"rgb(107, 150, 69)",100%,567px,11777px
dub product,"rgb(149, 142, 153)",100%,1225px,3768px
scam rap,"rgb(161, 144, 2)",102%,1051px,4949px
swiss house,"rgb(183, 145, 196)",100%,1390px,184px
amapiano,"rgb(166, 154, 129)",100%,1373px,786px
heavy gothic rock,"rgb(188, 118, 51)",100%,351px,4258px
women's music,"rgb(107, 149, 8)",102%,723px,10912px
slack-key guitar,"rgb(82, 168, 121)",100%,799px,12660px
vintage tango,"rgb(80, 146, 74)",100%,967px,15212px
lund indie,"rgb(171, 125, 72)",100%,382px,7615px
slovak folk,"rgb(114, 152, 14)",100%,560px,12263px
native american spiritual,"rgb(76, 157, 28)",100%,972px,10967px
latin jazz,"rgb(134, 134, 64)",104%,991px,12178px
taiwan singer-songwriter,"rgb(114, 148, 15)",101%,581px,9700px
christian indie,"rgb(129, 148, 16)",103%,447px,9414px
dayton indie,"rgb(176, 119, 35)",101%,397px,7691px
acid rock,"rgb(163, 109, 45)",104%,482px,10368px
j-idol,"rgb(212, 114, 36)",103%,509px,2113px
jovem guarda,"rgb(137, 142, 11)",102%,677px,9377px
trash rock,"rgb(218, 88, 43)",100%,351px,7852px
pop catracho,"rgb(176, 135, 20)",100%,1115px,4568px
slovenian hip hop,"rgb(169, 125, 7)",100%,1107px,7510px
latino comedy,"rgb(164, 76, 3)",100%,995px,11762px
