genre,preview_url,preview_track,color,top,left,font_size,run_date
south african deep house,https://p.scdn.co/mp3-preview/13eb255730bacd9b1b7b0353d5b4f5f3c94fbc8d,"e.g. Sculptured Music ""Speak Lord - Chymamusique Retro Remix""","rgb(152, 152, 151)",1046px,1286px,100%,20221119
french tech house,https://p.scdn.co/mp3-preview/b4d88e1de3f79372ebe478f34433d84d97c9ac4d,"e.g. Chicks Luv Us ""Connection""","rgb(194, 136, 184)",234px,1389px,101%,20221119
musica amapaense,https://p.scdn.co/mp3-preview/7c73d85d5829854f7d428ff2e2214aec4be1e345,"e.g. Patrícia Bastos ""U Amassu I U Dubradú""","rgb(160, 136, 11)",9431px,771px,100%,20221119
folk rock italiano,https://p.scdn.co/mp3-preview/4925c3ff7370dc4b326bb674b9540f6519f5a67d,"e.g. Bandabardò ""Se mi rilasso collasso""","rgb(133, 137, 10)",13830px,721px,102%,20221119
piano blues,https://p.scdn.co/mp3-preview/ad24245468823db16e794a31d2c1c5233cd370fe,"e.g. Champion Jack Dupree ""Junker's Blues""","rgb(102, 136, 45)",17318px,916px,101%,20221119
chutney,https://p.scdn.co/mp3-preview/760f92d4d5ca1feeb1a977c955545bbc8bcb1028,"e.g. Peter Ram ""Woman By My Side""","rgb(143, 130, 30)",14530px,818px,103%,20221119
cha-cha-cha,https://p.scdn.co/mp3-preview/367c534226f4ef51aa9dc53638a6e8ea950c0b6c,"e.g. Orquesta América ""Me Lo Dijo Adela""","rgb(127, 133, 62)",15833px,965px,101%,20221119
canadian celtic,https://p.scdn.co/mp3-preview/2d353f9047f49b742c60fd922b1181bcb5abb429,"e.g. Rawlins Cross ""Reel 'n' Roll""","rgb(147, 138, 24)",13053px,532px,101%,20221119
ye ye,https://p.scdn.co/mp3-preview/769c1ddd49d1ed2b710b0c8a68665f67839d2a4e,"e.g. Sylvie Vartan ""La plus Belle pour Aller Danser""","rgb(132, 137, 7)",14905px,615px,102%,20221119
fado instrumental,https://p.scdn.co/mp3-preview/be6a4dfe2d72231f29c0cb947f3c63d32dea6c9a,"e.g. Custódio Castelo ""In agradecimento Miss Morna""","rgb(107, 161, 142)",16429px,757px,100%,20221119
classic australian country,https://p.scdn.co/mp3-preview/182797132739cb13613eeeef03b411eef19eb463,"e.g. Buddy Williams ""The Overlander Trail""","rgb(128, 142, 6)",12646px,859px,100%,20221119
birmingham indie,https://p.scdn.co/mp3-preview/088d0edbe0a734dd0ef2fa9c510d8028dc870197,"e.g. Peace ""Lovesick""","rgb(167, 130, 31)",7353px,436px,100%,20221119
hampton roads indie,https://p.scdn.co/mp3-preview/5438ebd36b86e174310e54370861b2e213ed2f83,"e.g. The Hunts ""Valentina""","rgb(166, 130, 38)",10206px,444px,100%,20221119
chanson quebecois,https://p.scdn.co/mp3-preview/529d5b5393af1833c7ad99a906c024894cdc6ae9,"e.g. Les Classels ""Ton amour a changé ma vie""","rgb(130, 142, 9)",14114px,629px,101%,20221119
folk rock,https://p.scdn.co/mp3-preview/2f799d20b1ffbe387990c810259750f7860a410a,"e.g. Buffalo Springfield ""For What It's Worth""","rgb(125, 135, 17)",14225px,688px,113%,20221119
dutch classical piano,https://p.scdn.co/mp3-preview/8da88c07de46c49e27e82bee6e4da5d854afd919,"e.g. Lucas Jussen """"Was mir behagt, ist nur die muntre Jagd"" Cantata, BWV 208: 9. Schafe können sicher weiden (Arr. For Piano Four Hands by Mary Howe)""","rgb(34, 164, 217)",20796px,542px,100%,20221119
thai folk,https://p.scdn.co/mp3-preview/3140f435f6ab1ce044ba0606f162c3f7b4b94903,"e.g. Greasy Cafe' ""ฝืน""","rgb(123, 147, 25)",12190px,632px,101%,20221119
telugu worship,https://p.scdn.co/mp3-preview/dea00fbf614cbb5c063b9e30ab689ad8cae48036,"e.g. Prabhu Pammi ""Naa Sarvam""","rgb(152, 141, 16)",9667px,762px,100%,20221119
muzica crestina,https://p.scdn.co/mp3-preview/d342ad3e7436e1d3b830c38fdcae371aad0f922b,"e.g. Messis ""Iubirea adâncă a Tatălui""","rgb(122, 150, 19)",12671px,512px,100%,20221119
sega,https://p.scdn.co/mp3-preview/3759de6de66be74684e5a37c09ac6eca6cea98f3,"e.g. Baster ""Alon dansé""","rgb(165, 134, 16)",8787px,1034px,100%,20221119
syro-aramaic chant,https://p.scdn.co/mp3-preview/bed8f744da8a8cb65936e79ce6166c1ad31d4e7c,"e.g. Ghada Shbeir ""Wal Hawa Thalithouna""","rgb(53, 172, 25)",19056px,363px,100%,20221119
trap colombiano,https://p.scdn.co/mp3-preview/4a516daef5afe9c060a6ac9ab9054c811ae84374,"e.g. DEUXER ""Lo Es todo""","rgb(166, 141, 6)",6411px,1089px,102%,20221119
little rock indie,https://p.scdn.co/mp3-preview/e994ef41dad7a4e32360d45b93c2c54f3f3e18cb,"e.g. Androids of Ex-Lovers ""Decagon""","rgb(163, 131, 21)",9282px,467px,100%,20221119
deep talent show,https://p.scdn.co/mp3-preview/de266291ebe6127f71804efce7a1f2be3b4af241,"e.g. Britton Buchanan ""Cross My Mind""","rgb(150, 141, 8)",9074px,572px,101%,20221119
mexican power metal,https://p.scdn.co/mp3-preview/ddc54f1894ce1488f4686ac32c60ee81bd9edc79,"e.g. Psicofonia ""Cama de Rosas""","rgb(209, 104, 41)",6540px,258px,100%,20221119
korean trap,https://p.scdn.co/mp3-preview/8a64c45e20369fc2c1cdf64dc7c089d56ba25d1f,"e.g. The Quiett ""Be my""","rgb(178, 143, 9)",5897px,1020px,100%,20221119
chamame brasilero,https://p.scdn.co/mp3-preview/8f867faaa95ddced00b679c7ea6c9d552fcb91db,"e.g. Canto Da Terra ""Soy el Chamamé""","rgb(158, 138, 24)",10089px,908px,100%,20221119
reggae peruano,https://p.scdn.co/mp3-preview/6cbd998663a1aae5134eb3d52dce3dd502228156,"e.g. Laguna Pai ""Canales""","rgb(165, 142, 28)",6625px,1030px,100%,20221119
turbo folk,https://p.scdn.co/mp3-preview/0a4b727a77a279c37ccee7d4b5e3f4e85b980abe,"e.g. Dara Bubamara ""Bebe Ko Te J...""","rgb(187, 125, 2)",6070px,748px,104%,20221119
yu-mex,https://p.scdn.co/mp3-preview/7eea9b63a71f77795c6db22cc73ec004a2ba8170,"e.g. Pro Arte ""Plačem/Mama Juanita""","rgb(135, 141, 8)",13127px,528px,100%,20221119
namibian pop,https://p.scdn.co/mp3-preview/b52196fcc559cc6c5560acd9df0a616836ce4ade,"e.g. Gazza ""Chelete""","rgb(178, 135, 15)",5000px,1065px,100%,20221119
hip hop tuga,https://p.scdn.co/mp3-preview/b643435060318ffdfe89d10f0f7e2d988e8aaf33,"e.g. Regula ""Jerónimo""","rgb(162, 134, 18)",10177px,1056px,102%,20221119
zen,https://p.scdn.co/mp3-preview/4a3645c68a26157f4dc15b24c72c6799f9a46ea2,"e.g. Zen Spirit ""Lunar Breath""","rgb(52, 137, 203)",18000px,141px,100%,20221119
pakistani hip hop,https://p.scdn.co/mp3-preview/d0a48c717546b05cafc59ad67c2e44ea55d15f3f,"e.g. Jokhay ""Kab Tak""","rgb(161, 145, 9)",7892px,1100px,104%,20221119
vintage chinese pop,https://p.scdn.co/mp3-preview/2286f4819e8f6efc43dbf2ca3ffe782c9205f674,"e.g. 張露 ""給我一個吻""","rgb(105, 154, 5)",14300px,508px,101%,20221119
reggae en espanol,https://p.scdn.co/mp3-preview/ec28d7bc5c0e65bddb57243a3b32fcf299768e02,"e.g. La Muza ""Una Vez Mas""","rgb(171, 137, 10)",6234px,1069px,103%,20221119
melanesian pop,https://p.scdn.co/mp3-preview/bc6b1c694c0fed80f1c4b6eb4f384e6278b61a8c,"e.g. Dezine ""Sweet Darling""","rgb(161, 143, 7)",4412px,994px,101%,20221119
swedish underground rap,https://p.scdn.co/mp3-preview/d558907384c470a394cfadc8799f695977ecac0f,"e.g. Fjärde Världen ""Tamam""","rgb(175, 125, 24)",11069px,1037px,100%,20221119
cumbia del sureste,https://p.scdn.co/mp3-preview/89861c0e47bbefaa178bb2da497cf6ff67d7db12,"e.g. Alfredo Y Sus Teclados ""La Cumbia del Apache""","rgb(170, 140, 14)",6538px,1120px,102%,20221119
canadian indigenous hip hop,https://p.scdn.co/mp3-preview/9ee568e1d555577bec4a0225bab60388c603fbdb,"e.g. Drezus ""Warpath""","rgb(155, 139, 12)",5282px,1093px,100%,20221119
rap latina,https://p.scdn.co/mp3-preview/e37b1984d77dd9e4b92abded2d585835dbea2b7e,"e.g. Sara Hebe ""Tuve que quemar""","rgb(172, 143, 6)",5154px,1143px,105%,20221119
american shoegaze,https://p.scdn.co/mp3-preview/c6978ee24679ad195de8a0a6c7a67af3a42a73c9,"e.g. Animal Ghosts ""Wrist""","rgb(174, 116, 149)",8032px,159px,101%,20221119
baltimore hip hop,https://p.scdn.co/mp3-preview/cb47efcb61ec55deced29e68004f1164443cef4c,"e.g. Lor Scoota ""Bird Flu""","rgb(157, 146, 2)",5983px,1102px,101%,20221119
reggae,https://p.scdn.co/mp3-preview/7b058d194a192c75f88d475ab5fabb158b157dfc,"e.g. Wailing Souls ""Act Of Affection""","rgb(137, 143, 34)",6843px,1217px,105%,20221119
classic praise,https://p.scdn.co/mp3-preview/f8843fae8ead715d152cc2485de37933f6585214,"e.g. Joseph Garlington ""My Life Is In You, Lord""","rgb(104, 150, 37)",12794px,506px,101%,20221119
pune indie,https://p.scdn.co/mp3-preview/71f67675c3e9dc568b65adc56d3950863cd84946,"e.g. Piyush Bhisekar ""Wajah""","rgb(18, 181, 165)",17278px,1098px,100%,20221119
judaica,https://p.scdn.co/mp3-preview/2f03a4f8c579537e82823e305338cd45e3ab1f23,"e.g. Yosef Karduner ""Shir Lama'alot""","rgb(79, 145, 22)",14880px,705px,100%,20221119
tvog,https://p.scdn.co/mp3-preview/2779e3b2d35b1d4b2aa64e0529a5fce4447675de,"e.g. Michael Schulte ""Falling Apart""","rgb(132, 142, 6)",10058px,726px,101%,20221119
jazz trumpet,https://p.scdn.co/mp3-preview/2a9e4f009abd1a58edb105f9a65cbcab7801e120,"e.g. Tom Harrell ""I nodi e il pettine""","rgb(87, 140, 100)",18084px,890px,103%,20221119
rock catala,https://p.scdn.co/mp3-preview/4b3e84f2db0b94c0e4ab846b66e7c54251001d0e,"e.g. Cesk Freixas ""La Petita Rambla del Poble Sec - XL""","rgb(146, 136, 18)",10750px,685px,101%,20221119
histoire pour enfants,https://p.scdn.co/mp3-preview/0802600da21ab734f082324a2302282bf512a6d9,"e.g. Gérard Philipe ""Le petit Prince, pt. 1""","rgb(79, 136, 6)",15695px,1175px,100%,20221119
dutch musical,https://p.scdn.co/mp3-preview/2ffcf946c2a347ef9d2a5debec69709334462ac3,"e.g. Cast Mary Poppins ""Supercalifragilisticexpialidasties""","rgb(117, 141, 19)",14539px,553px,100%,20221119
zim gospel,https://p.scdn.co/mp3-preview/1aba96cddf1a840c825552290a6df37f111c8cd0,"e.g. Sabastian Magacha ""1 + 1 (feat. Bethen Pasinawako)""","rgb(159, 136, 4)",10034px,665px,100%,20221119
southeast asian post-rock,https://p.scdn.co/mp3-preview/152edbcbaa2d47c9326986fe80b91d182fcdf6af,"e.g. 聲子蟲 Bugs of Phonon ""送往繁星""","rgb(158, 136, 174)",9836px,332px,100%,20221119
fingerstyle,https://p.scdn.co/mp3-preview/ecc4125b29780fce499850636bea587c81381a30,"e.g. Isato Nakagawa ""Hachijo kariyasu""","rgb(76, 168, 177)",16806px,888px,101%,20221119
swedish rock-and-roll,https://p.scdn.co/mp3-preview/3df89c2c8b5d69c699f59ce524288bebc3516f0f,"e.g. Ola & The Janglers ""Let's Dance""","rgb(177, 122, 69)",11105px,655px,100%,20221119
variete francaise,https://p.scdn.co/mp3-preview/c21270a9ead14b79e384226cb047dfb48d120baf,"e.g. Arcadian ""Ton combat""","rgb(165, 138, 2)",7751px,733px,102%,20221119
classic turkish pop,https://p.scdn.co/mp3-preview/662fbb17cb29baaeb8e7a6ea3b47d667c3025ba1,"e.g. Rana Alagöz ""Aşkın Gözü Kör Mü""","rgb(129, 138, 14)",14917px,555px,102%,20221119
st petersburg fl indie,https://p.scdn.co/mp3-preview/ba557ed15654d8f26a65b8b13414818431fc3d59,"e.g. Polyenso ""Pocket Knife Shadow""","rgb(158, 132, 42)",10835px,444px,100%,20221119
taiwan indie,https://p.scdn.co/mp3-preview/0bb7e2cb22fd8e39b690fd526e3d546f71a407c0,"e.g. Wayne's so Sad ""台北流浪指南""","rgb(149, 136, 34)",8466px,521px,102%,20221119
mambo,https://p.scdn.co/mp3-preview/c31774f700aadde7f4a9e5332015804d50599981,"e.g. Cachao ""Cogele el Golpe""","rgb(140, 128, 69)",15566px,1011px,101%,20221119
wyoming indie,https://p.scdn.co/mp3-preview/eda7f967de68b52cf03ec17cf18d7ed4d21564e8,"e.g. The Lillingtons ""Black Hole In My Mind""","rgb(170, 124, 31)",9468px,461px,100%,20221119
swedish indie folk,https://p.scdn.co/mp3-preview/f4509b844e102e5c7149f47231c06598478b824e,"e.g. Kristofer Åström ""All Lovers Hell""","rgb(101, 159, 55)",14411px,542px,101%,20221119
musica folk asturiana,https://p.scdn.co/mp3-preview/190b71128789a570e4f190883d9455da7a52a3f1,"e.g. Felpeyu ""Loa Fayeos de Mayo""","rgb(143, 145, 50)",11954px,357px,100%,20221119
