"genre","color","size","top","left"
"dinner jazz","rgb(59, 164, 195)",0.05,27.1704470248481,75.6
"chinese classical","rgb(37, 152, 144)",0,6.47373804223572,23.5333333333333
"nordic house","rgb(193, 127, 39)",0.0333333333333333,88.5566452078696,56.4666666666667
"classical harp","rgb(28, 175, 181)",0,3.49557788340051,43.1333333333333
"piano blues","rgb(102, 136, 45)",0.0166666666666667,19.0782744720534,61.3333333333333
"poezja spiewana","rgb(111, 148, 10)",0.0166666666666667,31.8151735755971,52.5333333333333
"indian jazz","rgb(132, 136, 141)",0,30.5517116900307,51.7333333333333
"galway indie","rgb(129, 142, 39)",0,38.4333072618976,36.7333333333333
"rhythm and boogie","rgb(145, 123, 18)",0,29.3784970820047,58.2666666666667
"australian talent show","rgb(166, 132, 5)",0.0333333333333333,61.4824619457313,40.5333333333333
"brazilian gospel","rgb(149, 143, 20)",0.0833333333333333,52.22309127008,35.4
"mantra","rgb(130, 140, 11)",0,33.0786354611636,51
"spanish folk rock","rgb(152, 139, 22)",0,54.701883159858,40.0666666666667
"dutch r&b","rgb(141, 147, 14)",0.0166666666666667,63.7627098249203,63
"southern gospel","rgb(120, 143, 14)",0.0166666666666667,34.5767402683352,37.0666666666667
"r&b italiano","rgb(154, 139, 18)",0.0333333333333333,59.5090548101799,56.2666666666667
"canadian rock","rgb(192, 116, 21)",0.1,72.0594428734733,27.5333333333333
"korean trap","rgb(177, 141, 13)",0,71.2351844052704,67.2
"nohay","rgb(160, 119, 0)",0,23.5364899825522,39.8666666666667
"chamame brasilero","rgb(158, 138, 21)",0,53.8355092954696,60.6666666666667
"swansea indie","rgb(167, 126, 32)",0,60.2972143673666,24.2666666666667
"uk rockabilly","rgb(192, 110, 17)",0,56.1458396005054,53
"nepali pop","rgb(153, 140, 9)",0,51.5311954756032,46.8
"turbo folk","rgb(187, 125, 3)",0.05,71.3013657421334,49.7333333333333
"military rap","rgb(175, 130, 3)",0.0166666666666667,72.2339209433849,67.3333333333333
"classic colombian pop","rgb(130, 151, 13)",0.0166666666666667,39.1613019673906,72.6
"kuduro","rgb(197, 123, 56)",0,87.2931833223031,81
"marimba de guatemala","rgb(162, 152, 87)",0,56.0856747488117,77.6
"tecnobanda","rgb(162, 128, 4)",0.0333333333333333,49.7503158654714,74.3333333333333
"roots reggae","rgb(141, 144, 28)",0.0833333333333333,70.2544973226641,80.5333333333333
"jazz trumpet","rgb(86, 139, 99)",0.05,15.4142350039107,59.8666666666667
"italian jazz","rgb(74, 156, 133)",0.0166666666666667,16.707779315324,49.2
"musica portuguesa contemporanea","rgb(105, 154, 32)",0,36.1891582937248,47.3333333333333
"canadian celtic","rgb(145, 139, 25)",0.0166666666666667,34.0472895734312,35.4
"rock curitibano","rgb(195, 112, 17)",0,63.973286805848,33.5333333333333
"ye ye","rgb(129, 138, 6)",0.0333333333333333,27.9826725227122,41.9333333333333
"swedish folk pop","rgb(117, 152, 37)",0,43.282594308405,39.0666666666667
"dortmund indie","rgb(190, 116, 35)",0,79.0144997292582,34.0666666666667
"swedish rock-and-roll","rgb(177, 123, 68)",0,48.2762769989772,44.8666666666667
"pop romantico","rgb(135, 141, 8)",0.05,35.6236086878046,43.7333333333333
"folk rock","rgb(128, 134, 16)",0.266666666666667,34.8113831899404,45.3333333333333
"psychobilly","rgb(217, 85, 35)",0.0166666666666667,55.0688887551892,29.5333333333333
"rap maromba","rgb(164, 137, 8)",0.0166666666666667,62.0961434330064,71.2666666666667
"swedish blues","rgb(171, 123, 14)",0,49.3291619036159,42.7333333333333
"garage rock mexicano","rgb(206, 105, 56)",0,72.6610913904097,24
"magyar mulatos","rgb(204, 123, 13)",0,86.3245292100355,61.8666666666667
"anime","rgb(182, 123, 51)",0.0833333333333333,73.8523554539438,28.3333333333333
"haitian dance","rgb(178, 126, 23)",0,64.8396606702364,64.4666666666667
"post-hardcore","rgb(198, 94, 65)",0.0666666666666667,51.1461404247638,21
"vintage country folk","rgb(76, 148, 29)",0,7.77329883881836,67.1333333333333
"chicano punk","rgb(228, 83, 45)",0,51.8801516154263,24.8
"musica popular paraense","rgb(171, 139, 14)",0.0166666666666667,62.0419950664822,59.4666666666667
"syrian pop","rgb(142, 134, 15)",0.0166666666666667,36.3335539377895,42.9333333333333
"kansas city hip hop","rgb(172, 130, 1)",0.0333333333333333,59.4308405029782,69.0666666666667
"uk dancehall","rgb(182, 134, 14)",0.05,75.9581252632212,73.3333333333333
"west-vlaamse hip hop","rgb(154, 134, 9)",0,52.1689429035557,73.6
"uk reggae","rgb(152, 144, 28)",0.0333333333333333,81.9926598880934,78.2
"psych gaze","rgb(173, 123, 119)",0,57.8545213886048,14.8
"school ensemble","rgb(100, 130, 123)",0,25.8528367727574,38.1333333333333
"classical contralto","rgb(46, 163, 28)",0,1.0889838156549,28.3333333333333
"viol","rgb(32, 161, 116)",0,8.41706275194032,21.4
"folk rock italiano","rgb(134, 137, 11)",0.0333333333333333,39.0169063233259,48.4
"jazz clarinet","rgb(92, 130, 136)",0,14.3793995547801,65.3333333333333
"sung poetry","rgb(111, 146, 11)",0.0166666666666667,31.1473437217977,50.6666666666667
"senegalese traditional","rgb(137, 125, 75)",0,27.3208591540822,69.2
"benga","rgb(166, 132, 17)",0,57.4093014860718,64.8
"euphoric hardstyle","rgb(226, 108, 60)",0.05,88.4062330786355,35.6666666666667
"vintage jazz","rgb(81, 133, 126)",0,9.71662354852295,69.3333333333333
"francoton","rgb(184, 135, 6)",0.15,74.598399614945,63.8
"togolese pop","rgb(178, 133, 13)",0,60.4957583779556,66.0666666666667
"lilith","rgb(122, 145, 12)",0.116666666666667,42.1635280669033,39.5333333333333
"country rock","rgb(132, 133, 20)",0.233333333333333,40.141989049997,47.5333333333333
"russian underground rap","rgb(172, 128, 5)",0,51.0438601768847,67.2
"persian pop","rgb(164, 137, 8)",0.0333333333333333,60.0505384754227,53
"uk contemporary r&b","rgb(136, 148, 10)",0.0833333333333333,57.9868840623308,57.8
"scottish indie rock","rgb(189, 119, 24)",0.0166666666666667,73.4793333734432,24.2666666666667
"deep discofox","rgb(234, 102, 8)",0,91.5829372480597,57.2666666666667
"egyptian hip hop","rgb(156, 138, 20)",0.0166666666666667,54.7439985560436,67.4666666666667
"marathi pop","rgb(135, 138, 31)",0,39.612538355093,54.2666666666667
"meditation","rgb(57, 125, 197)",0.05,16.3227242644847,9.2
"deep funk ostentacao","rgb(177, 132, 5)",0,71.4999097527225,83.2666666666667
"gothabilly","rgb(203, 95, 53)",0,63.973286805848,24
"christian trap","rgb(165, 139, 10)",0.0333333333333333,63.0828470007821,66
"merengue","rgb(180, 125, 11)",0.0333333333333333,49.8285301726731,70.6666666666667
"champeta","rgb(200, 123, 8)",0.05,84.5135671740569,73.7333333333333
